iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
THA,Asia,Thailand,1/4/2020,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,,,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/5/2020,,,,,,,,,,,,,,,,,,,,,,2,4,0,0,,,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/6/2020,,,,,,,,,,,,,,,,,,,,,,5,9,0,0,,,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/7/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/8/2020,,,,,,,,,,,,,,,,,,,,,,1,10,0,0,,,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/9/2020,,,,,,,,,,,,,,,,,,,,,,13,23,0,0,,,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/10/2020,,,,,,,,,,,,,,,,,,,,,,18,41,0.001,0,,,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/11/2020,,,,,,,,,,,,,,,,,,,,,,3,44,0.001,0,6,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/12/2020,,,,,,,,,,,,,,,,,,,,,,6,50,0.001,0,7,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/13/2020,,,,,,,,,,,,,,,,,,,,,,14,64,0.001,0,8,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/14/2020,,,,,,,,,,,,,,,,,,,,,,7,71,0.001,0,9,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/15/2020,,,,,,,,,,,,,,,,,,,,,,12,83,0.001,0,10,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/16/2020,,,,,,,,,,,,,,,,,,,,,,9,92,0.001,0,10,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/17/2020,,,,,,,,,,,,,,,,,,,,,,5,97,0.001,0,8,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/18/2020,,,,,,,,,,,,,,,,,,,,,,23,120,0.002,0,11,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/19/2020,,,,,,,,,,,,,,,,,,,,,,6,126,0.002,0,11,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/20/2020,,,,,,,,,,,,,,,,,,,,,,48,174,0.002,0.001,16,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/21/2020,,,,,,,,,,,,,,,,,,,,,,12,186,0.003,0,16,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/22/2020,4,,,,,,0.057,,,,,,,,,,,,,,,8,194,0.003,0,16,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/23/2020,4,0,,,,,0.057,0,,,,,,,,,,,,,,24,218,0.003,0,18,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/24/2020,5,1,,,,,0.071,0.014,,,,,,,,,,,,,,19,237,0.003,0,20,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/25/2020,6,1,,,,,0.086,0.014,,,,,,,,,,,,,,26,263,0.004,0,20,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/26/2020,8,2,,,,,0.114,0.029,,,,,,,,,,,,,,61,324,0.005,0.001,28,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/27/2020,8,0,,,,,0.114,0,,,,,,,,,,,,,,59,383,0.005,0.001,30,0,,,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/28/2020,14,6,1.429,,,,0.2,0.086,0.02,,,,,,,,,,,,,78,461,0.007,0.001,39,0.001,0.0366,27.3,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/29/2020,14,0,1.429,,,,0.2,0,0.02,,,,,,,,,,,,,108,569,0.008,0.002,54,0.001,0.0265,37.8,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/30/2020,14,0,1.429,,,,0.2,0,0.02,,,,,,,,,,,,,135,704,0.01,0.002,69,0.001,0.0207,48.3,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,1/31/2020,19,5,2,,,,0.272,0.071,0.029,,,,,,,,,,,,,142,846,0.012,0.002,87,0.001,0.023,43.5,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,2428.4,5.43,5.43,34.715807
THA,Asia,Thailand,2/1/2020,19,0,1.857,,,,0.272,0,0.027,,,,,,,,,,,,,224,1070,0.015,0.003,115,0.002,0.0161,61.9,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
THA,Asia,Thailand,2/2/2020,19,0,1.571,,,,0.272,0,0.022,,,,,,,,,,,,,153,1223,0.017,0.002,128,0.002,0.0123,81.5,tests performed,,,,,,,,,,,,,,0,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
