id,title,first_artist,artist_genre,artist_popularity,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_popularity
70DE8f3cq3auql4JMrF0Qg,ทักครับ,Lipta,['thai pop'],53,"['Lipta', 'GUYGEEGEE']",0.838,0.635,1,-5.929,1,0.136,0.0,0.0709,0.96,97.051,191500,4,60
3crZQarcOagdupRZNzRGWe,ถ้าเราเจอกันอีก (Until Then),Tilly Birds,"['thai indie rock', 'thai pop']",60,['Tilly Birds'],0.481,0.512,3,-6.365,1,0.496,0.0,0.157,0.314,75.876,288250,4,65
5oH4DQAuu1J1800RzUsBWa,That That (prod. & feat. SUGA of BTS),PSY,"['k-pop', 'k-rap', 'korean old school hip hop']",73,"['PSY', 'SUGA']",0.905,0.962,4,-3.197,1,0.0299,0.0,0.0272,0.906,129.969,174647,4,83
2gzhQaCTeNgxpeB2TPllyY,With you,Jimin,[],74,"['Jimin', 'HA SUNG WOON']",0.532,0.426,3,-6.117,1,0.639,0.0,0.134,0.137,149.898,201905,3,87
2m6Ko3CY1qXNNja8AlugNc,Angel Baby,Troye Sivan,"['australian pop', 'dance pop', 'electropop', 'pop', 'viral pop']",81,['Troye Sivan'],0.559,0.559,11,-6.425,1,0.0145,0.0,0.138,0.338,72.498,220780,4,79
2MnVrkbwL6ViB7q4NI7oVK,ฉบับปรับปรุง,ZENTYARB,['thai pop'],54,"['ZENTYARB', 'PUNYARB', 'Lazyloxy']",0.552,0.694,11,-7.436,1,0.2,0.0,0.112,0.419,165.951,244736,4,63
2bGK8OZkr2IH4XHFMWS3CZ,ถ้าเธอ feat. Violette Wautier,Stamp,['thai pop'],55,"['Stamp', 'Violette Wautier']",0.644,0.446,8,-7.629,1,0.812,0.0,0.13,0.455,84.976,199500,4,63
6MjLHdROTcaU22k7B6gxR6,พิง - เพลงประกอบละคร กระเช้าสีดา,NONT TANONT,['thai pop'],54,['NONT TANONT'],0.614,0.528,10,-7.693,1,0.393,0.0,0.105,0.46,132.075,242727,4,63
1rNYuv63emsYt4Jjv8RlgJ,เจ้าของที่ (My Favorite),Mirrr,"['thai indie pop', 'thai pop']",54,['Mirrr'],0.631,0.822,5,-4.793,1,0.213,0.00101,0.212,0.879,149.886,240008,4,51
4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,['pop'],92,['Harry Styles'],0.52,0.731,6,-5.338,0,0.342,0.00101,0.311,0.662,173.93,167303,4,100
296nXCOv97WJNRWzIBQnoj,FEARLESS,LE SSERAFIM,['k-pop'],66,['LE SSERAFIM'],0.863,0.62,7,-7.167,1,0.0508,0.00324,0.129,0.432,103.971,168437,4,74
0dcnrLo8s1rhjm8euGjI4n,DARARI,TREASURE,['k-pop'],74,['TREASURE'],0.716,0.638,0,-6.87,1,0.486,0.0,0.0702,0.552,84.955,220716,4,82
3BV2YcwoVRxK4dXxyaHpZU,Lavender,Patrickananda,[],57,['Patrickananda'],0.597,0.456,11,-6.37,1,0.374,0.0,0.204,0.472,128.076,253142,3,62
3imt8APLtyXVGsLZM362nA,เสแสร้ง (Pretend),Paper Planes,"['fake', 'thai rock']",49,"['Paper Planes', 'Moon']",0.545,0.87,2,-4.759,1,0.00273,0.0,0.491,0.473,159.932,223125,4,61
63VOJDNJ3a5dve74kzWVcF,คนไกล,Patrickananda,[],57,['Patrickananda'],0.638,0.193,9,-12.366,1,0.779,0.0,0.316,0.55,140.118,212571,4,61
315ar0QJiyciYkdVJUGA3w,ต่อจากนี้เพลงรักทุกเพลงจะเป็นของเธอเท่านั้น,No One Else,[],49,['No One Else'],0.502,0.637,9,-6.214,1,0.221,0.0,0.212,0.485,169.896,254500,4,62
1CfKHIQhgKrUMAkj4VwI4J,17 นาที,MILLI,"['thai hip hop', 'thai trap']",60,"['MILLI', 'mints']",0.948,0.42,11,-8.481,1,0.109,0.0,0.092,0.695,117.963,215593,4,61
